internal_state_code,internal_state_name,gst_state_code,gst_state_name
"1","Andra Pradesh","37","ANDHRA PRADESH"
"01","Andra Pradesh","37","ANDHRA PRADESH"
"2","Arunachal Pradesh","12","ARUNACHAL PRADESH"
"02","Arunachal Pradesh","12","ARUNACHAL PRADESH"
"3","Assam","18","ASSAM"
"03","Assam","18","ASSAM"
"4","Bihar","10","BIHAR"
"04","Bihar","10","BIHAR"
"5","Goa","30","GOA"
"05","Goa","30","GOA"
"6","Gujarat","24","GUJARAT"
"06","Gujarat","24","GUJARAT"
"7","Haryana","06","HARYANA"
"07","Haryana","06","HARYANA"
"8","Himachal Pradesh","02","HIMACHAL PRADESH"
"08","Himachal Pradesh","02","HIMACHAL PRADESH"
"9","Jammu und Kashmir","01","JAMMU & KASHMIR"
"09","Jammu und Kashmir","01","JAMMU & KASHMIR"
"10","Karnataka","29","KARNATAKA"
"11","Kerala","32","KERALA"
"12","Madhya Pradesh","23","MADHYA PRADESH"
"13","Maharashtra","27","MAHARASHTRA"
"14","Manipur","14","MANIPUR"
"15","Megalaya","17","MEGHALAYA"
"16","Mizoram","15","MIZORAM"
"17","Nagaland","13","NAGALAND"
"18","Orissa","21","ODISHA"
"19","Punjab","03","PUNJAB"
"20","Rajasthan","08","RAJASTHAN"
"21","Sikkim","11","SIKKIM"
"22","Tamil Nadu","33","TAMIL NADU"
"23","Tripura","16","TRIPURA"
"24","Uttar Pradesh","09","UTTAR PRADESH"
"25","West Bengal","19","WEST BENGAL"
"26","Andaman und Nico.In.","35","ANDAMAN & NICOBAR ISLANDS"
"27","Chandigarh","04","CHANDIGARH"
"28","Dadra und Nagar Hav.","26","DADRA & NAGAR HAVELI AND DAMAN AND DIU"
"29","Daman und Diu","25","DAMAN & DIU"
"30","Delhi","07","DELHI"
"31","Lakshadweep","31","LAKSHADWEEP"
"32","Pondicherry","34","PONDICHERRY"
"33","Chhaattisgarh","22","CHHATTISGARH"
"34","Jharkhand","20","JHARKHAND"
"35","Uttaranchal","05","UTTARAKHAND"
"36","Telangana","36","TELANGANA"
"37","Other Territory","97","OTHER TERRITORY"
"38","Ladakh","38","LADAKH"